plant,scan,stem_id1_vertical_extent_mm,tallest_leaf_vertical_extent_mm,tallest_leaf_id,flagged
Tomato03,T03_0324_a,89.8,40.9,12,no
Tomato03,T03_0325_a,91.7,49.7,12,no
Tomato04,T04_0305_a,15.1,5.5,2,no
Tomato04,T04_0307_a,18.5,10.7,2,no
Tomato04,T04_0309_a,18.1,9.3,2,no
Tomato04,T04_0311_a,23.0,12.3,3,no
Tomato04,T04_0313_a,28.1,17.9,4,no
Tomato04,T04_0315_a,35.8,15.3,4,no
Tomato04,T04_0317_a,49.3,19.6,4,no
Tomato04,T04_0319_a,59.8,26.0,4,no
Tomato04,T04_0321_a,65.6,35.6,7,no
Tomato04,T04_0324_a,75.4,37.0,4,no
Tomato04,T04_0325_a,75.5,31.9,13,no
Tomato05,T05_0305_a,23.7,2.3,3,no
Tomato05,T05_0307_a,27.2,5.3,3,no
Tomato05,T05_0309_a,29.6,10.6,2,no
Tomato05,T05_0311_a,31.6,12.2,4,no
Tomato05,T05_0313_a,41.0,24.9,4,no
Tomato05,T05_0315_a,56.6,25.3,4,no
Tomato05,T05_0317_a,68.6,29.3,4,no
Tomato05,T05_0319_a,80.9,29.4,4,no
Tomato05,T05_0321_a,87.0,38.3,4,no
Tomato05,T05_0324_a,103.9,41.2,14,no
Tomato05,T05_0325_a,98.1,46.8,14,no
Tomato06,T06_0305_a,17.4,2.8,2,no
Tomato06,T06_0307_a,20.0,8.8,2,no
Tomato06,T06_0309_a,19.5,13.3,3,no
Tomato06,T06_0311_a,24.5,13.3,3,no
Tomato06,T06_0313_a,28.2,17.9,3,no
Tomato06,T06_0315_a,37.7,13.6,5,no
Tomato06,T06_0317_a,45.4,24.9,5,no
Tomato06,T06_0319_a,51.7,29.8,5,no
Tomato06,T06_0321_a,66.1,31.2,6,no
Tomato06,T06_0324_a,112.7,36.4,17,no
Tomato06,T06_0325_a,84.0,44.7,5,no
Tomato07,T07_0305_a,21.5,1.9,2,no
Tomato07,T07_0307_a,22.6,7.4,2,no
Tomato07,T07_0309_a,29.1,9.5,3,no
Tomato07,T07_0311_a,33.7,13.6,4,no
Tomato07,T07_0313_a,43.7,20.3,4,no
Tomato07,T07_0315_a,59.1,30.3,5,no
Tomato07,T07_0317_a,67.3,35.2,5,no
Tomato07,T07_0319_a,72.9,37.9,5,no
Tomato07,T07_0321_a,98.5,41.5,5,no
Tomato07,T07_0324_a,137.4,48.0,12,no
Tomato07,T07_0325_a,120.9,50.8,12,no
